0
winside INFO 2018-01-24 06:29:53,615 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817426896>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7719227215', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240629535788812048149375', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 06:30:46,286 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817762120>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7718866331', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240630462517118564637377', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 06:31:56,327 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817759456>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7757576055', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240631562919844488740478', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 06:35:13,889 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817396712>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7757576055', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240635138480674575702129', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 06:35:19,985 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134822073480>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7770228006', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240635199494139710879256', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 06:35:20,116 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134902627648>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7757576055', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240635200773064367121955', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 06:35:20,287 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817043664>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7829961741', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240635202472191108217086', 'productID': 'productIDa3000000000000000216875'}'
winside INFO 2018-01-24 06:35:29,473 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817234240>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7770228006', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240635294390165398670632', 'productID': 'productIDa3000000000000000216874'}'
winside INFO 2018-01-24 06:35:31,731 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134902627432>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7757576055', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240635316968361131801885', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 06:35:50,456 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817530008>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7757576055', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240635504157357675130370', 'productID': 'productIDa3000000000000000216875'}'
winside INFO 2018-01-24 06:36:25,037 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817231720>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7770079547', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240636250024551369413432', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 06:36:27,718 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817533392>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7757576055', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240636276837416586631169', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 06:36:55,100 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817376304>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7757576055', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240636550566512158968453', 'productID': 'productIDa3000000000000000216877'}'
